Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Abstract
mHealth Interventions to Support Caregivers of Older Adults: Equity-Focused Systematic Review,"Garnett A, Northwood M, Ting J, Sangrar R.",JMIR Aging. 2022 Jul 8;5(3):e33085. doi: 10.2196/33085.,Garnett A,JMIR Aging,2022,2022/05/26,PMC9308083,,10.2196/33085,"BACKGROUND: Informal caregivers, hereafter referred to as caregivers, provide support to older adults so that they can age safely at home. The decision to become a caregiver can be influenced by individual factors, such as personal choice, or societal factors such as social determinants of health, including household income, employment status, and culture-specific gender roles. Over time, caregivers' health can be negatively affected by their caregiving roles. Although programs exist to support caregivers, the availability and appropriateness of services do not match caregivers' expressed needs. Research suggests that supportive interventions offered through mobile health (mHealth) technologies have the potential to increase caregivers' access to supportive services. However, a knowledge gap remains regarding the extent to which social determinants of health are considered in the design, implementation, and evaluation of mHealth interventions intended to support the caregivers of older adults. OBJECTIVE: This study aimed to conduct a systematic review to determine how health equity is considered in the design, implementation, and evaluation of mHealth interventions for caregivers of older adults using Cochrane Equity's PROGRESS-Plus (place of residence, race, ethnicity, culture, language, occupation, gender, religion, education, social capital, socioeconomic status-plus age, disability, and sexual orientation) framework and synthesize evidence of the impacts of the identified caregiver-focused mHealth interventions. METHODS: A systematic review was conducted using 5 databases. Articles published between January 2010 and June 2021 were included if they evaluated or explored the impact of mHealth interventions on the health and well-being of informal caregivers of older adults. mHealth interventions were defined as supportive services, for example, education, that caregivers of older adults accessed via mobile or wireless devices. RESULTS: In total, 28 articles met the inclusion criteria and were included in the review. The interventions evaluated sought to connect caregivers with services, facilitate caregiving, and promote caregivers' health and well-being. The PROGRESS-Plus framework factors were mainly considered in the results, discussion, and limitations sections of the included studies. Some PROGRESS-Plus factors such as sexual orientation, religion, and occupation, received little to no consideration across any phase of the intervention design, implementation, or evaluation. Overall, the findings of this review suggest that mHealth interventions were positively received by study participants. Such interventions have the potential to reduce caregiver burden and positively affect caregivers' physical and mental health while supporting them as caregivers. The study findings highlight the importance of making support available to help facilitate caregivers' use of mHealth interventions, as well as in the use of appropriate language and text. CONCLUSIONS: The successful uptake and spread of mHealth interventions to support caregivers of older adults will depend on creating opportunities for the inclusive involvement of a broad range of stakeholders at all stages of design, implementation, and evaluation."
Scaled-Up Mobile Phone Intervention for HIV Care and Treatment: Protocol for a Facility Randomized Controlled Trial,"L'Engle KL, Green K, Succop SM, Laar A, Wambugu S.",JMIR Res Protoc. 2015 Jan 23;4(1):e11. doi: 10.2196/resprot.3659.,L'Engle KL,JMIR Res Protoc,2015,2015/02/05,PMC4319075,,10.2196/resprot.3659,"BACKGROUND: Adherence to prevention, care, and treatment recommendations among people living with HIV (PLHIV) is a critical challenge. Yet good clinical outcomes depend on consistent, high adherence to antiretroviral therapy (ART) regimens. Mobile phones offer a promising means to improve patient adherence and health outcomes. However, limited information exists on the impact that mobile phones for health (mHealth) programs have on ART adherence or the behavior change processes through which such interventions may improve patient health, particularly among ongoing clients enrolled in large public sector HIV service delivery programs and key populations such as men who have sex with men (MSM) and female sex workers (FSW). OBJECTIVE: Our aim is to evaluate an mHealth intervention where text message reminders are used as supportive tools for health providers and as motivators and reminders for ART clients to adhere to treatment and remain linked to care in Ghana. Using an implementation science framework, we seek to: (1) evaluate mHealth intervention effects on patient adherence and health outcomes, (2) examine the delivery of the mHealth intervention for improving HIV care and treatment, and (3) assess the cost-effectiveness of the mHealth intervention. METHODS: The 36-month study will use a facility cluster randomized controlled design (intervention vs standard of care) for evaluating the impact of mHealth on HIV care and treatment. Specifically, we will look at ART adherence, HIV viral load, retention in care, and condom use at 6 and 12-month follow-up. In addition, participant adoption and satisfaction with the program will be measured. This robust methodology will be complemented by qualitative interviews to obtain feedback on the motivational qualities of the program and benefits and challenges of delivery, especially for key populations. Cost-effectiveness will be assessed using incremental cost-effectiveness ratios, with health effects expressed in terms of viral load suppression and costs of resources used for the intervention. RESULTS: This study and protocol was fully funded, but it was terminated prior to review from ethics boards and study implementation. CONCLUSIONS: This cluster-RCT would have provided insights into the health effects, motivational qualities, and cost-effectiveness of mHealth interventions for PLHIV in public sector settings. We are seeking funding from alternate sources to implement the trial."
A Mobile Health Intervention to Reduce Pain and Improve Health (MORPH) in Older Adults With Obesity: Protocol for the MORPH Trial,"Fanning J, Brooks AK, Ip E, Nicklas BJ, Rejeski WJ.",JMIR Res Protoc. 2018 May 14;7(5):e128. doi: 10.2196/resprot.9712.,Fanning J,JMIR Res Protoc,2018,2018/05/16,PMC5972205,,10.2196/resprot.9712,"BACKGROUND: Chronic pain is a complex, age-related health issue that affects both physical functioning and quality of life. Because the impact of chronic pain is worsened by obesity and inactivity, nonpharmacological interventions that promote movement, reduce sitting, and aid in weight loss are needed to help manage pain symptoms among older adults with chronic pain. OBJECTIVE: The Mobile Intervention to Reduce Pain and Improve Health (MORPH) pilot trial aims to develop and test the feasibility and acceptability of a novel, patient-centered intervention to reduce chronic pain and improve physical functioning in older adults, leveraging the combination of telecoaching and individually adaptive mHealth tools to decrease both body mass and sedentary behavior. METHODS: MORPH comprises 2 phases, including a 1-year iterative development phase, and a 1-year pilot randomized controlled trial (RCT). During the development phase, representative participants will engage in one-on-one structured interviews and a 1-week field test. The resulting feedback will be used to guide the development of the finalized MORPH intervention package. During the second phase, the finalized intervention will be tested in a pilot RCT (N=30) in which older adult participants with chronic pain and obesity will be assigned to receive the 12-week MORPH intervention or to a waitlist control. Primary outcomes include self-reported pain symptoms and physical function. RESULTS: Phase 1 recruitment is ongoing as of December 2017. CONCLUSIONS: The MORPH intervention brings together a strong body of evidence using group-based behavioral intervention designs with contemporary mHealth principles, allowing for intervention when and where it matters the most. Given the ubiquity of smartphone devices and the popularity of consumer activity and weight monitors, the results of this study may serve to inform the development of scalable, socially driven behavioral pain management interventions. TRIAL REGISTRATION: ClinicalTrials.gov NCT03377634; https://clinicaltrials.gov/ct2/show/NCT03377634 (Archived by WebCite at http://www.webcitation.org/6yj0J5Pan). REGISTERED REPORT IDENTIFIER: RR1-10.2196/9712."
"Adapting a Motivational Interviewing Intervention to Improve HIV Prevention Among Young, Black, Sexual Minority Men in Alabama: Protocol for the Development of the Kings Digital Health Intervention","Budhwani H, Kiszla BM, Outlaw AY, Oster RA, Mugavero MJ, Johnson MO, Hightow-Weidman LB, Naar S, Turan JM.",JMIR Res Protoc. 2022 Jul 13;11(7):e36655. doi: 10.2196/36655.,Budhwani H,JMIR Res Protoc,2022,2022/07/13,PMC9330190,,10.2196/36655,"BACKGROUND: African American or Black young men who have sex with men (BYMSM) are at a disproportionate risk for contracting HIV and have high rates of undiagnosed, and therefore untreated, HIV infection. In the southern United States, BYMSM face region-specific hurdles to HIV prevention, such as limited access to care and high levels of racism and intersectional stigma, necessitating HIV testing and pre-exposure prophylaxis interventions that address sociocultural and structural barriers while motivating BYMSM to engage in prevention. Brothers Saving Brothers (BSB) is a motivational interviewing behavioral intervention that successfully and simultaneously increased community-based HIV testing and prevention counseling and education among BYMSM in the midwestern United States. OBJECTIVE: The aim of this protocol is to detail the process for the adaption of the BSB intervention for midwestern BYMSM to the Kings intervention for southern BYMSM. During the adaptation process, the intervention will be modernized to include rapid HIV testing, as opposed to HIV testing that requires BYMSM to return for test results, pre-exposure prophylaxis, and the provision of structural supports, and for relevance in the southern United States. METHODS: Aim 1 is to gather qualitative data through focus groups and in-depth interviews with BYMSM aged 18 to 29 years in Alabama and in-depth interviews with prevention and outreach workers who routinely work with BYMSM in Alabama. NVivo qualitative software (QSR International) will be used for the coding and analysis of the transcripts via a thematic analysis approach. For aim 2, intervention mapping will guide the adaptation process, intervention content, components, and design. Both aims 1 and 2 will leverage the Exploration, Preparation, Implementation, Sustainment implementation science framework, with emphasis on the exploration and preparation phases of this model. By applying these frameworks, the original midwestern BSB intervention will be scientifically adapted to the southern BYMSM Kings intervention. RESULTS: This study is ongoing as of 2022 and is expected to conclude in 2024, with aims 1 and 2 being completed in 2023. Qualitative data will offer insight into the current real-world experiences and preferences of BYMSM in Alabama. Feedback will be collected through the adaptation process to inform intervention refinement. Institutional review board approvals have been received. CONCLUSIONS: The findings will inform next steps, that is, testing the Kings intervention for feasibility, acceptability, and preliminary effectiveness in a pilot hybrid type 1 effective-implementation randomized controlled trial. The study results will provide insights about important considerations for HIV prevention among BYMSM in the southern United States. TRIAL REGISTRATION: ClinicalTrials.gov NCT03680729; https://clinicaltrials.gov/ct2/show/NCT03680729. INTERNATIONAL REGISTERED REPORT IDENTIFIER (IRRID): PRR1-10.2196/36655."
"Designing Ruby: Protocol for a 2-Arm, Brief, Digital Randomized Controlled Trial for Internalized Weight Bias","Hopkins CM, Miller HN, Brooks TL, Mo-Hunter L, Steinberg DM, Bennett GG.",JMIR Res Protoc. 2021 Nov 25;10(11):e31307. doi: 10.2196/31307.,Hopkins CM,JMIR Res Protoc,2021,2021/11/29,PMC8663559,,10.2196/31307,"BACKGROUND: Weight bias internalization, also known as weight self-stigma, is a serious health concern for individuals with higher body weight. Weight bias internalization is associated with the greater avoidance of health care and health-promoting activities, disordered eating, social isolation, and weight gain. Elevated weight bias internalization has been associated with low self-compassion, yet few investigations have explored self-compassion as a potential mechanism for reducing internalized weight bias. OBJECTIVE: Ruby is a 2-arm randomized controlled trial that was designed to test the efficacy of a 4-week digital self-compassion intervention to reduce internalized weight bias compared with a wait-list control. METHODS: Adults with elevated internalized weight bias and a BMI of >30 kg/m(2) (N=80) were recruited. Ruby is a standalone digital trial that will be delivered entirely via a smartphone and will involve web-based data collection and text messages. The intervention content will include psychoeducation and daily mindfulness practices with a focus on self-compassion and body concerns. We will use intent-to-treat analyses to examine changes in weight bias internalization throughout time by treatment arm. The analyses will be conducted by using one-way analysis of covariance models and linear mixed models. RESULTS: The protocol was designed in May 2020 and approved in December 2020. Data collection is currently underway. CONCLUSIONS: Ruby will be the first digital standalone, self-compassion-based intervention designed to reduce internalized weight bias. Owing to its standalone digital delivery, Ruby may be a highly scalable treatment for internalized weight bias that can be delivered on its own or combined with other treatments. We expect Ruby to be accessible to many, as participants can access the digital intervention at times of the day that are the most convenient in their schedule and are not burdened by in-person time commitments, which can be a barrier for participants with competing demands on their time and resources. If efficacious, Ruby will be poised to expand a burgeoning body of literature related to psychological intervention in this area. TRIAL REGISTRATION: ClinicalTrials.gov NCT04678973; https://clinicaltrials.gov/ct2/show/NCT04678973. INTERNATIONAL REGISTERED REPORT IDENTIFIER (IRRID): DERR1-10.2196/31307."
"Mobile Intervention for Individuals With Psychosis, Dual Disorders, and Their Common Comorbidities: A Literature Review","Pennou A, Lecomte T, Potvin S, Khazaal Y.",Front Psychiatry. 2019 May 3;10:302. doi: 10.3389/fpsyt.2019.00302. eCollection 2019.,Pennou A,Front Psychiatry,2019,2019/05/28,PMC6510170,,10.3389/fpsyt.2019.00302,"Over 50% of people diagnosed with a severe mental illness, such as schizophrenia or bipolar disorder, will meet criteria for a substance use disorder in their lifetime. This dual disorder often starts during youth and leads to significant societal costs, including lower employability rates, more hospitalizations, and higher risk of homelessness and of suicide attempts when compared to those with a serious mental illness without substance misuse. Moreover, many individuals presenting with comorbid disorders also present with other psychological difficulties as well, such as personality disorders or anxiety and depression, also known as complex comorbid disorders. Transdiagnostic treatments that focus on core difficulties found in people with complex dual disorders, such as emotional regulation, are direly needed. Emotional regulation skills can help reduce distress related to psychotic symptoms and maintain abstinence in substance use disorders. New technologies in the field of communications have developed considerably over the past decade and have the potential to improve access to such treatments, a major problem in many health care settings. As such, this paper aims at: presenting core difficulties present in many individuals with dual disorders, reviewing the scientific literature pertaining to the use of mobile applications in mental health and addictions, and presenting the development and potential of a new application for emotional regulation for people with dual disorders."
Effect of Mobile Health on Obese Adults: A Systematic Review and Meta-Analysis,"Park SH, Hwang J, Choi YK.",Healthc Inform Res. 2019 Jan;25(1):12-26. doi: 10.4258/hir.2019.25.1.12. Epub 2019 Jan 31.,Park SH,Healthc Inform Res,2019,2019/02/22,PMC6372470,,10.4258/hir.2019.25.1.12,"OBJECTIVES: This study was conducted to examine the effects of mobile health (mHealth), using mobile phones as an intervention for weight loss in obese adults. METHODS: An electronic search was carried out using multiple databases. A meta-analysis of selected studies was performed. The effects of mHealth were analyzed using changes in body weight and body mass index (BMI). RESULTS: We identified 20 randomized controlled trials (RCTs) involving 2,318 participants who fit our inclusion criteria. The meta-analysis showed that body weight was reduced with a weighted mean difference (WMD) of -2.35 kg (95% confidence interval [CI], -2.84 to -1.87). An examination of the impact of duration of intervention showed that weight loss was greater after 6 months of mHealth (WMD = -2.66 kg) than between three and four months (WMD = -2.25 kg); it was maintained for up to 9 months (WMD = -2.62 kg). At 12 months, weight loss was reduced to a WMD of -1.23 kg. BMI decreased with a WMD of -0.77 kg/m(2) (95% CI, -1.01 to -0.52). BMI changes were not statistically significant at 3 months (WMD = -1.10 kg/m(2)), but they were statistically significant at 6 months (WMD = -0.67 kg/m(2)). CONCLUSIONS: The use of mHealth for obese adults showed a modest short-term effect on body weight and BMI. Although the weight loss associated with mHealth did not meet the recommendation of the Scottish Intercollegiate Guideline Network, which considers a reduction of approximately 5 to 10 kg of the initial body weight as a successful intervention. Well-designed RCTs are needed to reveal the effects of mHealth interventions."
"Evaluating the Feasibility, Acceptance, and Beneficial Effects of Online Occupational Therapy for Post-COVID-19 Condition: Protocol for a Randomized Controlled Trial (ErgoLoCo Study)","Müllenmeister C, Stoelting A, Schröder D, Schmachtenberg T, Ritter S, El-Sayed I, Steffens S, Klawonn F, Klawitter S, Homann S, Mikuteit M, Berg C, Behrens G, Hummers E, Cook A, Müller F, Dopfer-Jablonka A, Happle C.",JMIR Res Protoc. 2024 May 13;13:e50230. doi: 10.2196/50230.,Müllenmeister C,JMIR Res Protoc,2024,2024/05/13,PMC11130769,,10.2196/50230,"BACKGROUND: Post-COVID-19 syndrome (PCS; also known as ""long COVID"") is a relatively novel disease comprising physical, psychological, and cognitive complaints persisting several weeks to months after acute infection with SARS-CoV-2. Approximately 10% of patients with COVID-19 are affected by long-term symptoms. However, effective treatment strategies are lacking. The ErgoLoCo (Occupational Therapy [Ergotherapie] for Long COVID) study was designed to develop and evaluate a novel occupational therapy (OT) concept of online delivery of therapy for long COVID. OBJECTIVE: The primary study objective is to assess the feasibility of the online OT intervention in PCS. Secondary aims include the evaluation of online OT concerning cognitive problems, occupational performance, and social participation. METHODS: This randomized controlled interventional pilot study involves parallel mixed methods process analyses and a realist evaluation approach. A total of 80 clients with PCS aged at least 16 years will be recruited into two interventional groups. The control cohort (watch and wait) comprises 80 clients with long COVID. Treatment is provided through teletherapy (n=40) or delivery of prerecorded videos (n=40) using the same standardized OT concept twice weekly over 12 weeks. Analyses of quantitative questionnaires and qualitative interviews based on the theoretical framework of acceptability will be performed to assess feasibility. Focus group meetings will be used to assess how acceptable and helpful the intervention was to the participating occupational therapists. Standardized tests will be used to assess the initial efficacy of the intervention on neurocognitive performance; limitations in mobility, self-care, and everyday activities; pain; disabilities; quality of life (QoL); social participation; and anxiety and depression in PCS, and the possible effects of online OT on these complaints. RESULTS: The German Ministry of Education and Research provided funding for this research in March 2022. Data collection took place from October 2022 to August 31, 2023. Data analysis will be completed by the end of April 2024. We anticipate publishing the results in the fall of 2024. CONCLUSIONS: Despite the enormous clinical need, effective and scalable treatment options for OT clients who have PCS remain scarce. The ErgoLoCo study will assess whether online-delivered OT is a feasible treatment approach in PCS. Furthermore, this study will assess the effect of the intervention on cognitive symptoms, QoL, and occupational performance and participation in everyday life. Particular emphasis will be placed on the experiences of clients and occupational therapists with digitally delivered OT. This study will pave the way for novel and effective treatment strategies in PCS. TRIAL REGISTRATION: German Clinical Trial Registry DRKS00029990; https://drks.de/search/de/trial/DRKS00029990. INTERNATIONAL REGISTERED REPORT IDENTIFIER (IRRID): PRR1-10.2196/50230."
"The rise of Parkinson's disease is a global challenge, but efforts to tackle this must begin at a national level: a protocol for national digital screening and ""eat, move, sleep"" lifestyle interventions to prevent or slow the rise of non-communicable diseases in Thailand","Bhidayasiri R, Sringean J, Phumphid S, Anan C, Thanawattano C, Deoisres S, Panyakaew P, Phokaewvarangkul O, Maytharakcheep S, Buranasrikul V, Prasertpan T, Khontong R, Jagota P, Chaisongkram A, Jankate W, Meesri J, Chantadunga A, Rattanajun P, Sutaphan P, Jitpugdee W, Chokpatcharavate M, Avihingsanon Y, Sittipunt C, Sittitrai W, Boonrach G, Phonsrithong A, Suvanprakorn P, Vichitcholchai J, Bunnag T.",Front Neurol. 2024 May 13;15:1386608. doi: 10.3389/fneur.2024.1386608. eCollection 2024.,Bhidayasiri R,Front Neurol,2024,2024/05/28,PMC11129688,,10.3389/fneur.2024.1386608,"The rising prevalence of Parkinson's disease (PD) globally presents a significant public health challenge for national healthcare systems, particularly in low-to-middle income countries, such as Thailand, which may have insufficient resources to meet these escalating healthcare needs. There are also many undiagnosed cases of early-stage PD, a period when therapeutic interventions would have the most value and least cost. The traditional ""passive"" approach, whereby clinicians wait for patients with symptomatic PD to seek treatment, is inadequate. Proactive, early identification of PD will allow timely therapeutic interventions, and digital health technologies can be scaled up in the identification and early diagnosis of cases. The Parkinson's disease risk survey (TCTR20231025005) aims to evaluate a digital population screening platform to identify undiagnosed PD cases in the Thai population. Recognizing the long prodromal phase of PD, the target demographic for screening is people aged >/= 40 years, approximately 20 years before the usual emergence of motor symptoms. Thailand has a highly rated healthcare system with an established universal healthcare program for citizens, making it ideal for deploying a national screening program using digital technology. Designed by a multidisciplinary group of PD experts, the digital platform comprises a 20-item questionnaire about PD symptoms along with objective tests of eight digital markers: voice vowel, voice sentences, resting and postural tremor, alternate finger tapping, a ""pinch-to-size"" test, gait and balance, with performance recorded using a mobile application and smartphone's sensors. Machine learning tools use the collected data to identify subjects at risk of developing, or with early signs of, PD. This article describes the selection and validation of questionnaire items and digital markers, with results showing the chosen parameters and data analysis methods to be robust, reliable, and reproducible. This digital platform could serve as a model for similar screening strategies for other non-communicable diseases in Thailand."
mHealth Technology Design and Evaluation for Early Childhood Health Promotion: Systematic Literature Review,"DeWitt A, Kientz J, Coker TR, Liljenquist K.",JMIR Pediatr Parent. 2022 Oct 6;5(4):e37718. doi: 10.2196/37718.,DeWitt A,JMIR Pediatr Parent,2022,2022/10/06,PMC9585442,,10.2196/37718,"BACKGROUND: Recent increases in smartphone ownership among underserved populations have inspired researchers in medicine, computing, and health informatics to design and evaluate mobile health (mHealth) interventions, specifically for those supporting child development and growth. Although these interventions demonstrate possible effectiveness at larger scales, few of these interventions are evaluated to address racial disparities and health equity, which are known factors that affect relevance, uptake, and adherence in target populations. OBJECTIVE: In this study, we aimed to identify and document the current design and evaluation practices of mHealth technologies that promote early childhood health, with a specific focus on opportunities for those processes to address health disparities and health equity. METHODS: We completed a systematic literature review of studies that design and evaluate mHealth interventions for early childhood health promotion. We then analyzed these studies to identify opportunities to address racial disparities in early- and late-stage processes and to understand the potential efficacy of these interventions. RESULTS: Across the literature from medical, computing, and health informatics fields, we identified 15 articles that presented a design or evaluation of a parent-facing health intervention. We found that using mobile-based systems to deliver health interventions was generally well accepted by parents of children aged <5 years. We also found that, when measured, parenting knowledge of early childhood health topics and confidence to engage in health-promoting behaviors improved. Design and evaluation methods held internal consistency within disciplines (eg, experimental study designs were the most prevalent in medical literature, while computing researchers used user-centered design methods in computing fields). However, there is little consistency in design or evaluation methods across fields. CONCLUSIONS: To support more interventions with a comprehensive design and evaluation process, we recommend attention to design at the intervention (eg, reporting content sources) and system level; interdisciplinary collaboration in early childhood health intervention development can lead to large-scale deployment and success among populations. TRIAL REGISTRATION: PROSPERO CRD42022359797; https://tinyurl.com/586nx9a2."
Implementation of digital health in rural populations with chronic musculoskeletal conditions: A scoping review protocol,"Campos L, Costa D, Donato H, Nunes B, Cruz EB.",PLoS One. 2023 Dec 22;18(12):e0291638. doi: 10.1371/journal.pone.0291638. eCollection 2023.,Campos L,PLoS One,2023,2023/12/22,PMC10745161,,10.1371/journal.pone.0291638,"Musculoskeletal conditions are a major source of disability worldwide, and its burden have been rising in the last decades. Rural areas, in particular, are associated with higher prevalence of these conditions as well as higher levels of disability, which is likely related to other determinants that affect these communities. Although digital health has been identified as a potential solution to mitigate the impact of these determinants, it is also known that these populations may face barriers that limit the implementation of these interventions. Therefore, the aim of this scoping review is to comprehensively map the evidence regarding the implementation of digital health interventions in rural populations with chronic musculoskeletal conditions. We will include studies published from the year 2000; that report the use of digital interventions that promote prevention, treatment or monitoring of any chronic musculoskeletal condition or chronic pain from musculoskeletal origin, in patients that live in rural areas. This protocol follows the methodological framework for scoping reviews proposed by Arksey and O'Malley, as well as the Joana Briggs Institute (JBI) approach. We will conduct the search on Medline (PubMed), EMBASE, Web of Science and Scopus, as well as grey literature databases. Two independent reviewers will screen titles and abstracts followed by a full-text review to assess the eligibility of the articles. Data extracted will include the identification of the digital interventions used, barriers and enablers identified by the patients or healthcare providers, the patient-level outcomes measured, and the implementation strategies and outcomes reported. By mapping the evidence on the implementation of digital health interventions in rural communities with musculoskeletal conditions, this scoping review will enhance our understanding of their applicability in real-world settings."
Economic Evaluation of Pharmacist-Led Digital Health Interventions: A Systematic Review,"Park T, Kim H, Song S, Griggs SK.",Int J Environ Res Public Health. 2022 Sep 22;19(19):11996. doi: 10.3390/ijerph191911996.,Park T,Int J Environ Res Public Health,2022,2022/10/14,PMC9565470,,10.3390/ijerph191911996,"There has been growing interest in integrating digital technologies in healthcare. The purpose of this study was to systematically review the economic value of pharmacist-led digital interventions. PubMed, Web of Science, and the Cochrane databases were searched to select studies that had conducted economic evaluations of digital interventions by pharmacists for the period from January 2001 to February 2022. Economic evidence from 14 selected studies was synthesized in our analysis. Pharmacists used telephones, computers, web-based interventions, videotapes, smartphones, and multiple technologies for their digital interventions. Prior studies have reported the results of telephone-based interventions to be cost-effective. Alternatively, these interventions were found to be cost-effective when reevaluated with recently cited willingness-to-pay thresholds. In addition, pharmacist-led interventions based on computers, web-based interventions, smartphones, and multiple technologies have been reported to be cost-effective in previous studies. However, videotape-based intervention was found cost-ineffective because there was no significant difference in outcomes between the intervention and the usual care groups. If this intervention had been intensive enough to improve outcomes in the intervention group, favorable cost-effectiveness results could have been obtained. The economic evidence in the previous studies represented short-term economic values. Economic evaluations of the long-term value of digital interventions are warranted in future studies."
A systematic review of healthcare provider-targeted mobile applications for non-communicable diseases in low- and middle-income countries,"Geldsetzer P, Flores S, Wang G, Flores B, Rogers AB, Bunker A, Chang AY, Tisdale R.",NPJ Digit Med. 2022 Jul 19;5(1):99. doi: 10.1038/s41746-022-00644-3.,Geldsetzer P,NPJ Digit Med,2022,2022/07/19,PMC9296618,,10.1038/s41746-022-00644-3,"Mobile health (mHealth) interventions hold promise for addressing the epidemic of noncommunicable diseases (NCDs) in low- and middle-income countries (LMICs) by assisting healthcare providers managing these disorders in low-resource settings. We aimed to systematically identify and assess provider-facing mHealth applications used to screen for, diagnose, or monitor NCDs in LMICs. In this systematic review, we searched the indexing databases of PubMed, Web of Science, and Cochrane Central for studies published between January 2007 and October 2019. We included studies of technologies that were: (i) mobile phone- or tablet-based, (ii) able to screen for, diagnose, or monitor an NCD of public health importance in LMICs, and (iii) targeting health professionals as users. We extracted disease type, intervention purpose, target population, study population, sample size, study methodology, technology stage, country of development, operating system, and cost. Our initial search retrieved 13,262 studies, 315 of which met inclusion criteria and were analyzed. Cardiology was the most common clinical domain of the technologies evaluated, with 89 publications. mHealth innovations were predominantly developed using Apple's iOS operating system. Cost data were provided in only 50 studies, but most technologies for which this information was available cost less than 20 USD. Only 24 innovations targeted the ten NCDs responsible for the greatest number of disability-adjusted life years lost globally. Most publications evaluated products created in high-income countries. Reported mHealth technologies are well-developed, but their implementation in LMICs faces operating system incompatibility and a relative neglect of NCDs causing the greatest disease burden."
Patients-centered SurvivorShIp care plan after Cancer treatments based on Big Data and Artificial Intelligence technologies (PERSIST): a multicenter study protocol to evaluate efficacy of digital tools supporting cancer survivors,"Mlakar I, Lin S, Aleksandraviča I, Arcimoviča K, Eglītis J, Leja M, Salgado Barreira Á, Gómez JG, Salgado M, Mata JG, Batorek D, Horvat M, Molan M, Ravnik M, Kaux JF, Bleret V, Loly C, Maquet D, Sartini E, Smrke U.",BMC Med Inform Decis Mak. 2021 Aug 14;21(1):243. doi: 10.1186/s12911-021-01603-w.,Mlakar I,BMC Med Inform Decis Mak,2021,2021/08/15,PMC8364016,,10.1186/s12911-021-01603-w,"BACKGROUND: It is encouraging to see a substantial increase in individuals surviving cancer. Even more so since most of them will have a positive effect on society by returning to work. However, many cancer survivors have unmet needs, especially when it comes to improving their quality of life (QoL). Only few survivors are able to meet all of the recommendations regarding well-being and there is a body of evidence that cancer survivors' needs often remain neglected from health policy and national cancer control plans. This increases the impact of inequalities in cancer care and adds a dangerous component to it. The inequalities affect the individual survivor, their career, along with their relatives and society as a whole. The current study will evaluate the impact of the use of big data analytics and artificial intelligence on the self-efficacy of participants following intervention supported by digital tools. The secondary endpoints include evaluation of the impact of patient trajectories (from retrospective data) and patient gathered health data on prediction and improved intervention against possible secondary disease or negative outcomes (e.g. late toxicities, fatal events). METHODS/DESIGN: The study is designed as a single-case experimental prospective study where each individual serves as its own control group with basal measurements obtained at the recruitment and subsequent measurements performed every 6 months during follow ups. The measurement will involve CASE-cancer, Patient Activation Measure and System Usability Scale. The study will involve 160 survivors (80 survivors of Breast Cancer and 80 survivors of Colorectal Cancer) from four countries, Belgium, Latvia, Slovenia, and Spain. The intervention will be implemented via a digital tool (mHealthApplication), collecting objective biomarkers (vital signs) and subjective biomarkers (PROs) with the support of a (embodied) conversational agent. Additionally, the Clinical Decision Support system (CDSS), including visualization of cohorts and trajectories will enable oncologists to personalize treatment for an efficient care plan and follow-up management. DISCUSSION: We expect that cancer survivors will significantly increase their self-efficacy following the personalized intervention supported by the m-HealthApplication compared to control measurements at recruitment. We expect to observe improvement in healthy habits, disease self-management and self-perceived QoL. Trial registration ISRCTN97617326. https://doi.org/10.1186/ISRCTN97617326 . Original Registration Date: 26/03/2021."
